8
169236
100
0
20	1	15
8	3	15
3	1	13
15	3	14
12	2	12
15	5	15
3	1	11
4	5	14
6	6	15
5	6	15
17	2	10
5	7	15
14	3	11
11	3	11
19	7	15
14	8	15
4	1	8
19	4	11
20	3	10
4	1	8
7	8	15
9	2	8
1	4	10
19	4	10
10	4	10
10	2	8
9	10	15
1	2	7
5	7	12
4	5	10
5	5	10
18	6	11
17	6	11
3	6	11
5	5	10
4	1	6
5	10	15
7	2	7
11	10	14
20	5	9
4	9	13
7	10	14
13	6	10
15	1	5
5	10	14
7	8	11
12	10	13
18	9	12
15	9	12
11	9	12
11	7	10
12	4	7
4	2	5
14	3	5
11	8	10
19	6	8
12	2	4
14	9	11
2	2	3
14	9	10
19	9	10
15	1	2
2	9	10
14	7	8
6	7	8
12	1	2
9	4	5
15	1	2
11	6	7
19	4	5
18	1	2
13	8	9
12	1	1
12	4	4
2	4	4
9	6	6
15	3	3
15	9	9
2	3	3
2	3	3
16	3	3
8	3	1
10	5	3
17	3	1
3	4	2
9	5	3
2	6	4
9	6	4
12	10	7
4	8	4
12	9	5
10	10	6
12	7	2
9	7	2
17	9	4
4	9	3
20	10	4
19	9	2
8	10	2
15	10	2
