2
181235
100
0
17	1	15
17	2	15
8	1	14
10	2	15
8	1	13
5	1	13
19	3	15
8	4	15
5	4	15
1	2	13
5	5	15
10	1	11
8	2	12
7	5	15
3	4	14
17	1	10
18	6	15
7	4	13
8	5	14
1	6	14
19	3	11
2	5	13
4	2	10
15	2	10
20	6	14
9	8	15
18	6	13
3	1	8
18	1	8
17	2	9
8	5	12
2	2	9
11	9	15
13	9	15
8	7	13
2	7	12
1	7	12
20	10	15
11	1	6
11	1	6
9	1	6
5	7	12
2	1	6
20	1	6
6	4	9
13	3	8
15	1	5
10	4	7
20	6	9
20	4	7
20	1	4
11	1	4
19	7	10
11	8	11
18	3	5
1	10	12
19	2	4
5	5	7
19	7	9
3	1	3
16	2	4
6	6	8
12	1	2
1	2	3
18	10	11
20	3	4
1	9	10
2	4	5
5	9	9
4	4	4
4	9	9
20	9	9
8	2	2
13	8	8
18	10	10
1	6	5
14	2	1
12	3	2
16	8	7
12	9	8
12	3	2
20	8	7
5	3	2
8	6	4
1	3	1
19	4	2
10	7	5
11	10	7
4	5	2
15	10	7
5	5	2
12	9	5
9	10	5
20	9	4
9	8	2
5	9	3
3	9	2
16	9	2
20	10	1
12	10	1
