8
164315
100
0
12	1	15
19	2	15
5	4	15
5	4	15
3	4	14
19	3	13
11	4	14
15	3	13
16	5	14
6	2	11
14	2	11
10	3	12
12	1	9
20	6	14
7	1	9
2	7	15
14	6	14
12	4	12
19	7	15
8	1	8
16	7	14
7	4	11
20	5	12
10	4	11
2	7	14
3	6	13
20	7	14
16	3	10
18	5	11
6	5	11
15	5	11
13	1	7
7	5	11
20	1	7
4	1	7
15	9	14
13	10	15
6	6	11
9	9	14
11	6	11
19	1	5
14	2	6
7	3	7
9	7	11
11	5	9
14	4	8
20	10	13
13	7	10
16	3	6
9	4	7
15	7	10
5	6	8
6	8	10
13	5	7
2	5	7
13	7	9
7	10	12
20	1	3
7	7	9
8	7	8
3	1	2
15	8	9
11	4	4
8	5	5
4	6	6
14	2	2
18	7	7
13	3	2
18	7	6
6	2	1
20	5	4
9	4	3
11	3	1
20	10	8
14	4	2
15	8	6
20	7	5
19	5	2
9	7	4
8	9	6
19	10	7
18	7	4
18	10	7
15	8	4
3	9	5
6	10	5
2	10	5
1	10	5
4	7	2
1	8	3
16	9	3
5	9	3
3	7	1
16	8	2
19	10	4
9	8	1
18	8	1
2	10	3
3	10	2
15	9	1
